"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\conts\api.js", "JavaScript", 3, 0, 2, 5
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\conts\assets.js", "JavaScript", 2, 0, 2, 4
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\conts\contact.js", "JavaScript", 5, 0, 1, 6
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\conts\dimension.js", "JavaScript", 4, 0, 3, 7
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\conts\fonts.js", "JavaScript", 5, 0, 2, 7
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\conts\menuOptionList.js", "JavaScript", 117, 0, 3, 120
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\conts\networks.js", "JavaScript", 23, 0, 2, 25
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\conts\socialMediaIcons.js", "JavaScript", 28, 0, 2, 30
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\conts\topProvidersList.js", "JavaScript", 27, 0, 2, 29
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\conts\tvs.js", "JavaScript", 18, 0, 2, 20
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\logics\auth\auth.js", "JavaScript", 60, 11, 9, 80
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\logics\auth\fingerprint.js", "JavaScript", 152, 2, 19, 173
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\logics\auth\user.js", "JavaScript", 37, 1, 6, 44
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\logics\codePush.js", "JavaScript", 17, 2, 2, 21
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\logics\copyToClipboard.js", "JavaScript", 7, 0, 2, 9
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\logics\pushNotification\oneSignal.js", "JavaScript", 13, 7, 4, 24
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\logics\validatePhone.js", "JavaScript", 17, 0, 2, 19
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\logics\wallet.js", "JavaScript", 0, 0, 1, 1
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\redux\actions\index.js", "JavaScript", 13, 0, 3, 16
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\redux\reducers\index.js", "JavaScript", 5, 0, 2, 7
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\redux\reducers\userData.js", "JavaScript", 12, 0, 2, 14
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\redux\store\index.js", "JavaScript", 4, 0, 1, 5
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\styles\authStyles.js", "JavaScript", 31, 0, 3, 34
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\styles\colors.js", "JavaScript", 10, 0, 2, 12
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\styles\globalStyles.js", "JavaScript", 24, 0, 3, 27
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\styles\onBoardingScreenStyles.js", "JavaScript", 17, 0, 3, 20
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\view\components\AddMoney.js", "JavaScript", 120, 5, 11, 136
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\view\components\PageList.js", "JavaScript", 49, 1, 2, 52
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\view\components\auth\Input.js", "JavaScript", 25, 0, 2, 27
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\view\components\layouts\AppHeader.js", "JavaScript", 32, 0, 4, 36
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\view\components\loaders\BottomLoader.js", "JavaScript", 11, 0, 3, 14
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\view\components\loaders\PreLoader.js", "JavaScript", 34, 0, 3, 37
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\view\components\loaders\ScreenLoader.js", "JavaScript", 40, 1, 4, 45
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\view\components\modals\MessageModal.js", "JavaScript", 52, 0, 4, 56
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\view\components\modals\OptionModal.js", "JavaScript", 66, 0, 5, 71
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\view\components\modals\TransactionSuccessPopup.js", "JavaScript", 126, 29, 8, 163
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\view\components\onboardingScreenPages\Page1.js", "JavaScript", 81, 0, 7, 88
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\view\components\onboardingScreenPages\Page2.js", "JavaScript", 26, 0, 3, 29
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\view\components\onboardingScreenPages\Page3.js", "JavaScript", 29, 0, 3, 32
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\view\components\onboardingScreenPages\Page4.js", "JavaScript", 26, 0, 3, 29
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\view\components\onboardingScreenPages\Page5.js", "JavaScript", 29, 0, 3, 32
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\view\screens\AirtimeToCashScreen.js", "JavaScript", 160, 6, 17, 183
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\view\screens\BankDetailsScreen.js", "JavaScript", 119, 1, 10, 130
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\view\screens\BuyAirtimeScreen.js", "JavaScript", 218, 11, 20, 249
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\view\screens\BuyDataScreen.js", "JavaScript", 282, 11, 24, 317
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\view\screens\BuyElectricityScreen.js", "JavaScript", 255, 13, 27, 295
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\view\screens\BuyTvCardNoScreen.js", "JavaScript", 170, 6, 15, 191
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\view\screens\BuyTvScreen.js", "JavaScript", 185, 6, 19, 210
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\view\screens\ComingSoonScreen.js", "JavaScript", 67, 0, 7, 74
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\view\screens\ContactUsScreen.js", "JavaScript", 65, 0, 6, 71
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\view\screens\FaqsScreen.js", "JavaScript", 96, 0, 4, 100
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\view\screens\FingerPrintAlertScreen.js", "JavaScript", 104, 0, 4, 108
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\view\screens\HomeScreen.js", "JavaScript", 247, 1, 12, 260
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\view\screens\MoreScreen.js", "JavaScript", 46, 1, 3, 50
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\view\screens\OnboardingScreen.js", "JavaScript", 213, 17, 19, 249
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\view\screens\PaymentGatewaysScreen.js", "JavaScript", 28, 0, 2, 30
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\view\screens\PrivacyPolicyScreen.js", "JavaScript", 245, 0, 6, 251
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\view\screens\ProfileScreen.js", "JavaScript", 73, 0, 5, 78
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\view\screens\SetFingerprintScreen.js", "JavaScript", 54, 1, 5, 60
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\view\screens\SettingsScreen.js", "JavaScript", 70, 0, 8, 78
"c:\xampp\htdocs\ReactNativeApps\CIPTOPUP\app\src\view\screens\SlashScreen.js", "JavaScript", 24, 0, 3, 27
